Name,ID,Ratings,Windows,Web,Mac,Linux
Momentum,694402,71,False,True,False,False
The weeds,696534,33,True,True,False,True
CTRL_,698341,9,False,False,False,False
Player Zero,698680,8,True,False,False,False
Programmer's Odyssey,697368,16,False,False,False,False
ESTEEGEE,699578,8,True,False,False,False
Prison Break,694759,20,False,True,False,False
BeatBot,697098,8,False,False,False,False
Boxes,696785,10,False,False,False,False
Confined,698984,19,True,True,True,True
Out of your Control,695364,12,False,True,False,False
Out of Ctrl,698227,11,False,False,False,False
Missing Input,696266,10,False,False,False,False
The Glitcher,694307,8,False,False,False,False
Off the Rails,698929,8,True,False,False,False
Factory Reset,696668,11,True,False,False,False
1980 the game,694138,8,False,False,False,False
Reach the flag,697161,35,False,True,False,False
Briky: Riot Profiteering Simulation,695283,13,False,False,False,False
just a failed Tetris clone,699782,8,False,False,False,False
Time Fracture,696818,12,True,False,False,False
BrakeFailure,695131,32,False,True,False,False
Outta Hand,698985,11,True,False,False,False
smileyPC,699566,12,True,False,False,False
The death-veloper,698796,10,True,False,False,False
Graveyard Guardian,698952,9,True,False,False,False
Concentration,697789,8,True,False,True,True
Poggits,694832,58,True,True,False,False
Magician's Intern,699860,10,True,False,False,False
BotBot,696097,12,True,False,False,False
Sunset Yellow Overdrunk,699020,10,True,False,False,False
Spontaneous Automation,693071,35,False,True,False,False
Easter Stone (GMTK Jam20),697601,11,True,False,False,False
A Walk in the Park,696459,9,True,False,False,False
Off-Kilter,693051,13,True,False,False,False
Function,697252,25,True,True,False,True
It's Over,697741,152,True,False,False,False
a rocket flight,695020,14,True,False,False,False
Cretacious Chaos,696673,8,True,False,True,True
Losing It (V2),697829,23,True,True,False,False
Backup Comms,699514,8,True,False,True,False
Out Of Physics,700882,23,True,False,False,False
Recover System Control,694598,13,True,False,False,False
Hijack Helpline,696953,25,False,True,False,False
Under Controlled,696468,12,True,False,False,False
Dine 'n Dash,694738,29,True,True,False,False
RandomizeJumps!,700496,9,True,False,False,False
DRM simulator,696582,34,False,True,False,False
